x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005,x0006,y0006,x0007,y0007
100.,12.,100.,7.,100.,10.,100.,14.,100.,0.1620202864,100.,0.0956178302,100.,0.1052002754,100.,0.3457063855
101.5,11.,101.5,2.,101.5,6.,101.5,9.,100.1,0.1614406014,100.1,0.0960730607,100.1,0.1043269936,100.1,0.3445901771
103.,10.,103.,4.,103.,11.,103.,8.,100.2,0.1608579235,100.2,0.0965275823,100.2,0.1034679790,100.2,0.3434514844
104.5,15.,104.5,4.,104.5,5.,104.5,11.,100.3,0.1602748041,100.3,0.0969794597,100.3,0.1026242407,100.3,0.3422926893
106.,11.,106.,2.,106.,10.,106.,13.,100.4,0.1596937748,100.4,0.0974268201,100.4,0.1017966914,100.4,0.3411162534
107.5,10.,107.5,2.,107.5,2.,107.5,19.,100.5,0.1591173262,100.5,0.0978678638,100.5,0.1009861436,100.5,0.3399247260
109.,12.,109.,6.,109.,11.,109.,7.,100.6,0.1585478864,100.6,0.0983008738,100.6,0.1001933069,100.6,0.3387207502
110.5,9.,110.5,2.,110.5,10.,110.5,14.,100.7,0.1579878019,100.7,0.0987242252,100.7,0.0994187855,100.7,0.3375070681
112.,10.,112.,4.,112.,12.,112.,15.,100.8,0.1574393186,100.8,0.0991363921,100.8,0.0986630769,100.8,0.3362865254
113.5,9.,113.5,5.,113.5,5.,113.5,10.,100.9,0.1569045649,100.9,0.0995359540,100.9,0.0979265720,100.9,0.3350620727
115.,7.,115.,5.,115.,11.,115.,9.,101.,0.1563855361,101.,0.0999216007,101.,0.0972095546,101.,0.3338367671
116.5,11.,116.5,6.,116.5,2.,116.5,11.,101.1,0.15588408,101.1,0.100292136,101.1,0.0965122032,101.1,0.3326137705
118.,9.,118.,1.,118.,7.,118.,13.,101.2,0.1554018847,101.2,0.1006464798,101.2,0.0958345928,101.2,0.3313963466
119.5,9.,119.5,6.,119.5,7.,119.5,16.,101.3,0.1549404679,101.3,0.1009836701,101.3,0.0951766979,101.3,0.3301878564
121.,8.,121.,2.,121.,6.,121.,10.,101.4,0.1545011677,101.4,0.1013028622,101.4,0.0945383959,101.4,0.3289917509
122.5,8.,122.5,3.,122.5,6.,122.5,10.,101.5,0.1540851357,101.5,0.1016033288,101.5,0.0939194712,101.5,0.3278115625
124.,5.,124.,5.,124.,7.,124.,14.,101.6,0.1536933314,101.6,0.1018844575,101.6,0.0933196207,101.6,0.3266508946
125.5,9.,125.5,6.,125.5,5.,125.5,4.,101.7,0.1533265186,101.7,0.1021457487,101.7,0.0927384588,101.7,0.3255134082
127.,12.,127.,2.,127.,9.,127.,11.,101.8,0.1529852633,101.8,0.1023868121,101.8,0.0921755239,101.8,0.3244028086
128.5,7.,128.5,2.,128.5,7.,128.5,14.,101.9,0.1526699340,101.9,0.1026073626,101.9,0.0916302847,101.9,0.3233228289
130.,8.,130.,2.,130.,4.,130.,11.,102.,0.1523807027,102.,0.1028072165,102.,0.0911021478,102.,0.3222772126
131.5,5.,131.5,0.,131.5,2.,131.5,7.,102.1,0.1521175478,102.1,0.1029862861,102.1,0.0905904646,102.1,0.3212696947
133.,11.,133.,4.,133.,2.,133.,5.,102.2,0.1518802592,102.2,0.1031445756,102.2,0.0900945396,102.2,0.3203039822
134.5,7.,134.5,3.,134.5,2.,134.5,5.,102.3,0.1516684437,102.3,0.1032821752,102.3,0.0896136379,102.3,0.3193837323
136.,14.,136.,4.,136.,3.,136.,10.,102.4,0.1514815323,102.4,0.1033992566,102.4,0.0891469939,102.4,0.3185125313
137.5,12.,137.5,3.,137.5,2.,137.5,5.,102.5,0.1513187886,102.5,0.1034960678,102.5,0.0886938193,102.5,0.3176938716
139.,6.,139.,4.,139.,2.,139.,7.,102.6,0.1511793187,102.6,0.1035729285,102.6,0.0882533116,102.6,0.3169311295
140.5,10.,140.5,3.,140.5,4.,140.5,2.,102.7,0.1510620811,102.7,0.1036302253,102.7,0.0878246624,102.7,0.3162275419
142.,11.,142.,2.,142.,4.,142.,2.,102.8,0.1509658984,102.8,0.1036684074,102.8,0.0874070659,102.8,0.3155861837
143.5,10.,143.5,3.,143.5,2.,143.5,4.,102.9,0.1508894693,102.9,0.103687983,102.9,0.0869997267,102.9,0.3150099453
145.,7.,145.,2.,145.,3.,145.,3.,103.,0.1508313811,103.,0.1036895153,103.,0.0866018678,103.,0.3145015106
146.5,5.,146.5,0.,146.5,2.,146.5,4.,103.1,0.1507901232,103.1,0.1036736198,103.1,0.0862127385,103.1,0.314063336
148.,7.,148.,2.,148.,2.,148.,2.,103.2,0.1507641003,103.2,0.1036409611,103.2,0.0858316217,103.2,0.3136976300
149.5,7.,149.5,0.,149.5,3.,149.5,4.,103.3,0.1507516464,103.3,0.1035922506,103.3,0.0854578409,103.3,0.3134063346
151.,6.,151.,4.,151.,4.,151.,1.,103.4,0.1507510384,103.4,0.1035282446,103.4,0.0850907668,103.4,0.3131911076
152.5,16.,152.5,3.,152.5,1.,152.5,3.,103.5,0.1507605102,103.5,0.1034497421,103.5,0.0847298234,103.5,0.3130533066
154.,9.,154.,5.,154.,2.,154.,2.,103.6,0.1507782662,103.6,0.1033575837,103.6,0.0843744942,103.6,0.3129939746
155.5,6.,155.5,1.,155.5,2.,155.5,2.,103.7,0.1508024952,103.7,0.1032526497,103.7,0.0840243268,103.7,0.3130138282
